,R_hat
"prob_correct[162,11]",1.00137
"eta[162,11]",1.00137
"prob_correct[35,11]",1.00137
"eta[81,24]",1.00136
"prob_correct[81,24]",1.00136
"prob_correct[122,7]",1.00136
"eta[122,7]",1.00136
"prob_correct[40,16]",1.00135
"prob_correct[173,5]",1.00135
"eta[173,5]",1.00135
"prob_correct[129,7]",1.00135
"prob_correct[118,7]",1.00135
"eta[40,16]",1.00135
theta[74],1.00135
"eta[129,7]",1.00135
"prob_correct[39,13]",1.00135
"eta[118,7]",1.00135
"eta[39,13]",1.00135
"eta[147,16]",1.00134
"prob_correct[28,5]",1.00134
"eta[28,5]",1.00134
"prob_correct[147,16]",1.00134
"prob_correct[95,2]",1.00134
"eta[95,2]",1.00134
theta[131],1.00133
"eta[93,26]",1.00133
"prob_correct[93,26]",1.00133
"prob_correct[28,16]",1.00132
"prob_correct[122,5]",1.00132
"eta[197,26]",1.00132
"prob_correct[145,5]",1.00132
"eta[145,5]",1.00132
"prob_correct[197,26]",1.00132
"eta[122,5]",1.00132
"eta[28,16]",1.00132
"prob_correct[54,5]",1.00132
"eta[54,5]",1.00132
"eta[31,16]",1.00131
"prob_correct[31,16]",1.00131
"eta[69,26]",1.0013
"eta[136,11]",1.0013
"prob_correct[141,5]",1.0013
"prob_correct[69,26]",1.0013
"prob_correct[15,22]",1.0013
theta[134],1.0013
"prob_correct[57,24]",1.0013
"eta[57,24]",1.0013
"eta[15,22]",1.0013
"eta[141,5]",1.0013
"eta[136,7]",1.0013
"prob_correct[136,11]",1.0013
"prob_correct[136,7]",1.0013
"prob_correct[47,5]",1.00129
theta[156],1.00129
"eta[47,5]",1.00129
"eta[57,16]",1.00129
"prob_correct[57,16]",1.00129
"eta[192,7]",1.00128
"prob_correct[190,7]",1.00128
"eta[196,26]",1.00128
"eta[64,7]",1.00128
"eta[190,7]",1.00128
"eta[15,11]",1.00128
"prob_correct[15,11]",1.00128
"prob_correct[192,7]",1.00128
"prob_correct[64,7]",1.00128
"prob_correct[196,26]",1.00128
"eta[152,5]",1.00127
"prob_correct[187,2]",1.00127
"prob_correct[156,23]",1.00127
"eta[156,23]",1.00127
"eta[49,14]",1.00127
"prob_correct[91,5]",1.00127
"eta[91,5]",1.00127
"prob_correct[46,11]",1.00127
"eta[46,11]",1.00127
"prob_correct[11,7]",1.00127
"eta[11,7]",1.00127
"prob_correct[152,5]",1.00127
"prob_correct[49,14]",1.00127
"eta[187,2]",1.00127
theta[3],1.00126
"prob_correct[169,13]",1.00126
theta[67],1.00126
"eta[106,14]",1.00126
"prob_correct[26,7]",1.00126
"eta[169,13]",1.00126
"prob_correct[106,14]",1.00126
"prob_correct[80,5]",1.00126
"eta[80,5]",1.00126
"eta[26,7]",1.00126
theta[143],1.00126
"eta[45,11]",1.00125
"prob_correct[45,11]",1.00125
theta[33],1.00125
"prob_correct[33,10]",1.00124
"eta[76,7]",1.00124
"eta[33,10]",1.00124
"prob_correct[76,7]",1.00124
"prob_correct[30,16]",1.00123
"prob_correct[10,5]",1.00123
"eta[97,11]",1.00123
"eta[9,28]",1.00123
"eta[10,5]",1.00123
"eta[30,16]",1.00123
"prob_correct[9,28]",1.00123
"prob_correct[97,11]",1.00123
"eta[41,16]",1.00122
b[26],1.00122
theta[99],1.00122
"eta[197,27]",1.00122
a[28],1.00122
"eta[170,7]",1.00122
"prob_correct[138,16]",1.00122
"prob_correct[197,27]",1.00122
b[2],1.00122
"prob_correct[170,7]",1.00122
"eta[138,16]",1.00122
theta[184],1.00122
"prob_correct[41,16]",1.00122
"prob_correct[128,6]",1.00121
"prob_correct[174,11]",1.00121
"eta[2,10]",1.00121
"prob_correct[2,10]",1.00121
"eta[174,11]",1.00121
"eta[128,6]",1.00121
theta[23],1.00121
"prob_correct[160,7]",1.0012
"eta[87,16]",1.0012
"prob_correct[87,16]",1.0012
"eta[58,7]",1.0012
"prob_correct[58,7]",1.0012
"eta[160,7]",1.0012
"prob_correct[161,23]",1.00119
"prob_correct[29,11]",1.00119
"eta[40,11]",1.00119
"prob_correct[7,18]",1.00119
"eta[29,11]",1.00119
"prob_correct[39,11]",1.00119
"eta[39,11]",1.00119
"prob_correct[40,11]",1.00119
b[12],1.00119
"eta[161,23]",1.00119
"prob_correct[195,14]",1.00119
"eta[7,18]",1.00119
"eta[195,14]",1.00119
theta[140],1.00118
"prob_correct[56,11]",1.00117
"prob_correct[146,11]",1.00117
"eta[71,13]",1.00117
"eta[12,23]",1.00117
"prob_correct[99,23]",1.00117
"eta[99,23]",1.00117
"prob_correct[193,16]",1.00117
"prob_correct[31,8]",1.00117
"prob_correct[71,13]",1.00117
"prob_correct[159,5]",1.00117
"eta[106,23]",1.00117
"eta[31,8]",1.00117
"eta[159,5]",1.00117
"eta[56,11]",1.00117
"prob_correct[12,23]",1.00117
"eta[193,16]",1.00117
"prob_correct[154,16]",1.00117
"eta[146,11]",1.00117
"prob_correct[106,23]",1.00117
"eta[157,16]",1.00117
"prob_correct[157,16]",1.00117
"eta[154,16]",1.00117
"prob_correct[67,16]",1.00116
"eta[44,13]",1.00116
"eta[67,16]",1.00116
"prob_correct[100,16]",1.00116
"eta[100,16]",1.00116
b[20],1.00116
"prob_correct[44,13]",1.00116
b[14],1.00115
"eta[54,26]",1.00115
"prob_correct[113,5]",1.00115
"eta[27,23]",1.00115
"eta[113,5]",1.00115
"prob_correct[54,26]",1.00115
"prob_correct[27,23]",1.00115
"eta[24,8]",1.00114
"prob_correct[53,10]",1.00114
"eta[101,16]",1.00114
"eta[53,10]",1.00114
"prob_correct[191,24]",1.00114
"eta[191,24]",1.00114
theta[11],1.00114
"prob_correct[101,16]",1.00114
"prob_correct[187,16]",1.00114
"eta[187,16]",1.00114
"prob_correct[24,8]",1.00114
"prob_correct[200,10]",1.00113
"eta[200,10]",1.00113
"eta[5,11]",1.00113
"eta[184,10]",1.00113
"eta[66,11]",1.00113
"prob_correct[66,11]",1.00113
"prob_correct[195,5]",1.00113
"eta[195,5]",1.00113
"prob_correct[184,10]",1.00113
"prob_correct[5,11]",1.00113
"prob_correct[11,10]",1.00112
"eta[162,7]",1.00112
"eta[11,10]",1.00112
theta[26],1.00112
"eta[86,7]",1.00112
"prob_correct[162,7]",1.00112
"prob_correct[103,16]",1.00112
"prob_correct[86,7]",1.00112
"prob_correct[55,24]",1.00112
"prob_correct[23,22]",1.00112
"eta[168,17]",1.00112
"prob_correct[175,11]",1.00112
"eta[23,22]",1.00112
"prob_correct[168,17]",1.00112
"eta[70,14]",1.00112
"eta[175,11]",1.00112
"eta[155,26]",1.00112
"eta[57,6]",1.00112
theta[48],1.00112
"prob_correct[155,26]",1.00112
"prob_correct[70,14]",1.00112
"prob_correct[166,23]",1.00112
"eta[55,24]",1.00112
"eta[166,23]",1.00112
"eta[103,16]",1.00112
"prob_correct[57,6]",1.00112
theta[151],1.00111
"prob_correct[40,5]",1.00111
"prob_correct[95,13]",1.00111
"eta[94,8]",1.00111
"prob_correct[38,7]",1.00111
theta[152],1.00111
"eta[38,7]",1.00111
"eta[183,23]",1.00111
"prob_correct[20,10]",1.00111
"prob_correct[188,2]",1.00111
"prob_correct[94,8]",1.00111
"prob_correct[183,23]",1.00111
"eta[95,13]",1.00111
"eta[165,11]",1.00111
"eta[40,5]",1.00111
"prob_correct[165,11]",1.00111
"eta[20,10]",1.00111
"eta[147,26]",1.00111
"eta[142,2]",1.00111
"prob_correct[142,2]",1.00111
"eta[188,2]",1.00111
"prob_correct[147,26]",1.00111
"eta[151,5]",1.0011
theta[158],1.0011
"prob_correct[151,5]",1.0011
"prob_correct[63,16]",1.0011
"eta[135,2]",1.0011
"prob_correct[66,23]",1.0011
"prob_correct[168,5]",1.0011
"prob_correct[135,2]",1.0011
"eta[63,16]",1.0011
"eta[168,5]",1.0011
theta[119],1.0011
"eta[66,23]",1.0011
"eta[17,23]",1.00109
"eta[78,10]",1.00109
theta[60],1.00109
"eta[142,11]",1.00109
"prob_correct[78,10]",1.00109
"prob_correct[180,11]",1.00109
"eta[70,11]",1.00109
theta[37],1.00109
"prob_correct[28,11]",1.00109
"prob_correct[70,11]",1.00109
"prob_correct[142,11]",1.00109
"eta[28,11]",1.00109
"eta[180,11]",1.00109
"prob_correct[17,23]",1.00109
"eta[6,16]",1.00108
"prob_correct[102,7]",1.00108
"eta[62,11]",1.00108
"eta[58,5]",1.00108
"eta[145,24]",1.00108
"eta[90,2]",1.00108
"prob_correct[58,5]",1.00108
"eta[72,7]",1.00108
"prob_correct[90,2]",1.00108
"prob_correct[116,11]",1.00108
"eta[76,11]",1.00108
"eta[100,11]",1.00108
"prob_correct[30,5]",1.00108
"eta[153,23]",1.00108
"prob_correct[56,7]",1.00108
"prob_correct[153,23]",1.00108
"prob_correct[100,11]",1.00108
"prob_correct[76,11]",1.00108
"prob_correct[145,24]",1.00108
theta[175],1.00108
"prob_correct[72,7]",1.00108
"prob_correct[6,16]",1.00108
"prob_correct[62,11]",1.00108
"eta[116,11]",1.00108
"eta[102,7]",1.00108
"eta[30,5]",1.00108
"eta[56,7]",1.00108
"eta[117,10]",1.00107
"eta[43,10]",1.00107
"prob_correct[89,26]",1.00107
"eta[35,7]",1.00107
"prob_correct[117,10]",1.00107
theta[85],1.00107
"eta[151,15]",1.00107
theta[32],1.00107
"prob_correct[162,5]",1.00107
"prob_correct[35,7]",1.00107
"prob_correct[151,15]",1.00107
"eta[162,5]",1.00107
theta[166],1.00107
"eta[89,26]",1.00107
a[27],1.00107
"prob_correct[43,10]",1.00107
"prob_correct[189,5]",1.00107
"eta[189,5]",1.00107
"eta[171,13]",1.00106
"prob_correct[6,7]",1.00106
"prob_correct[106,10]",1.00106
"prob_correct[171,13]",1.00106
"eta[15,13]",1.00106
"prob_correct[139,13]",1.00106
"eta[73,17]",1.00106
"prob_correct[73,17]",1.00106
"prob_correct[184,9]",1.00106
"prob_correct[72,16]",1.00106
"prob_correct[15,13]",1.00106
"eta[139,13]",1.00106
"prob_correct[92,5]",1.00106
"eta[92,5]",1.00106
"eta[106,10]",1.00106
"eta[184,9]",1.00106
"eta[72,16]",1.00106
"eta[6,7]",1.00106
"eta[108,16]",1.00106
"prob_correct[108,16]",1.00106
theta[87],1.00106
"eta[116,5]",1.00105
a[16],1.00105
"prob_correct[115,18]",1.00105
"eta[197,13]",1.00105
"prob_correct[119,7]",1.00105
"eta[88,7]",1.00105
"prob_correct[138,14]",1.00105
"prob_correct[116,5]",1.00105
"prob_correct[52,13]",1.00105
"eta[91,24]",1.00105
"eta[172,26]",1.00105
"eta[138,14]",1.00105
"prob_correct[53,13]",1.00105
"eta[53,13]",1.00105
"prob_correct[75,11]",1.00105
"eta[35,23]",1.00105
"prob_correct[35,23]",1.00105
"eta[115,18]",1.00105
"prob_correct[88,7]",1.00105
"eta[187,26]",1.00105
"prob_correct[172,26]",1.00105
"prob_correct[187,26]",1.00105
"eta[75,11]",1.00105
"eta[52,13]",1.00105
"eta[119,7]",1.00105
"prob_correct[197,13]",1.00105
"prob_correct[91,24]",1.00105
"prob_correct[98,7]",1.00104
"prob_correct[128,18]",1.00104
"eta[98,7]",1.00104
"eta[129,14]",1.00104
theta[43],1.00104
"eta[178,5]",1.00104
"prob_correct[181,23]",1.00104
"prob_correct[43,14]",1.00104
"eta[194,12]",1.00104
"prob_correct[178,5]",1.00104
"eta[181,23]",1.00104
"eta[128,18]",1.00104
theta[141],1.00104
"prob_correct[77,4]",1.00104
"prob_correct[129,14]",1.00104
"eta[43,14]",1.00104
"eta[77,4]",1.00104
"prob_correct[194,12]",1.00104
"eta[110,7]",1.00103
"eta[163,5]",1.00103
"prob_correct[110,7]",1.00103
"eta[134,16]",1.00103
"eta[56,13]",1.00103
"prob_correct[198,26]",1.00103
"prob_correct[198,16]",1.00103
"prob_correct[185,10]",1.00103
"eta[185,10]",1.00103
"prob_correct[163,5]",1.00103
"prob_correct[50,11]",1.00103
"eta[195,23]",1.00103
"prob_correct[183,16]",1.00103
theta[120],1.00103
"eta[47,2]",1.00103
"prob_correct[56,13]",1.00103
"eta[50,11]",1.00103
"prob_correct[134,16]",1.00103
"eta[198,26]",1.00103
"eta[144,10]",1.00103
"prob_correct[47,2]",1.00103
a[15],1.00103
"prob_correct[195,23]",1.00103
"eta[183,16]",1.00103
"eta[198,16]",1.00103
"prob_correct[144,10]",1.00103
"eta[47,16]",1.00102
"eta[117,7]",1.00102
"prob_correct[108,5]",1.00102
"prob_correct[47,16]",1.00102
"eta[108,5]",1.00102
"prob_correct[70,13]",1.00102
"prob_correct[117,7]",1.00102
b[13],1.00102
"eta[54,10]",1.00102
"prob_correct[54,10]",1.00102
"prob_correct[42,23]",1.00102
"eta[42,23]",1.00102
"eta[195,24]",1.00102
"eta[70,13]",1.00102
"prob_correct[195,24]",1.00102
theta[66],1.00101
"eta[141,6]",1.00101
"prob_correct[33,11]",1.00101
"prob_correct[141,6]",1.00101
"prob_correct[96,9]",1.00101
"prob_correct[154,22]",1.00101
theta[196],1.00101
theta[83],1.00101
"eta[18,23]",1.00101
"eta[154,22]",1.00101
theta[173],1.00101
"eta[77,2]",1.00101
"eta[33,11]",1.00101
"eta[96,9]",1.00101
theta[47],1.00101
"prob_correct[87,7]",1.00101
"eta[96,7]",1.00101
"prob_correct[77,2]",1.00101
"eta[61,27]",1.00101
"eta[87,7]",1.00101
"prob_correct[96,7]",1.00101
"prob_correct[61,27]",1.00101
"prob_correct[18,23]",1.00101
"eta[103,11]",1.001
"prob_correct[199,23]",1.001
"prob_correct[110,5]",1.001
"eta[16,11]",1.001
"prob_correct[103,11]",1.001
"eta[85,10]",1.001
"prob_correct[170,2]",1.001
"eta[75,14]",1.001
"prob_correct[142,7]",1.001
"eta[142,7]",1.001
"prob_correct[16,11]",1.001
"prob_correct[75,14]",1.001
"prob_correct[85,10]",1.001
"eta[170,2]",1.001
"eta[99,11]",1.001
"prob_correct[99,11]",1.001
theta[89],1.001
"eta[110,5]",1.001
"eta[199,23]",1.001
"prob_correct[3,27]",1.001
"eta[3,27]",1.001
"eta[166,8]",1.00099
"prob_correct[166,8]",1.00099
"eta[107,8]",1.00099
"eta[172,2]",1.00099
"prob_correct[172,2]",1.00099
theta[81],1.00099
"prob_correct[186,7]",1.00099
"eta[186,7]",1.00099
"prob_correct[107,8]",1.00099
theta[200],1.00098
"eta[159,11]",1.00098
theta[137],1.00098
"eta[177,26]",1.00098
"prob_correct[177,26]",1.00098
"eta[114,7]",1.00098
"prob_correct[41,5]",1.00098
"prob_correct[159,11]",1.00098
"prob_correct[98,8]",1.00098
"eta[41,5]",1.00098
"y_rep[79,8]",1.00098
"eta[98,8]",1.00098
"eta[8,5]",1.00098
"prob_correct[8,5]",1.00098
"prob_correct[114,7]",1.00098
"prob_correct[181,5]",1.00097
theta[12],1.00097
"eta[97,26]",1.00097
"eta[21,24]",1.00097
"eta[174,8]",1.00097
"eta[190,15]",1.00097
"eta[181,5]",1.00097
"eta[92,8]",1.00097
"eta[76,16]",1.00097
"prob_correct[92,8]",1.00097
"prob_correct[174,8]",1.00097
"eta[81,10]",1.00097
theta[198],1.00097
"prob_correct[18,14]",1.00097
"prob_correct[190,15]",1.00097
"prob_correct[81,10]",1.00097
"prob_correct[76,16]",1.00097
"prob_correct[97,26]",1.00097
"eta[136,21]",1.00097
"eta[18,14]",1.00097
"eta[33,8]",1.00097
"prob_correct[136,21]",1.00097
"prob_correct[21,24]",1.00097
"prob_correct[33,8]",1.00097
"prob_correct[89,2]",1.00096
"prob_correct[93,7]",1.00096
"eta[179,26]",1.00096
"prob_correct[91,14]",1.00096
"eta[180,27]",1.00096
"eta[48,10]",1.00096
"eta[93,7]",1.00096
"eta[74,5]",1.00096
"prob_correct[112,14]",1.00096
"prob_correct[132,26]",1.00096
"prob_correct[180,27]",1.00096
"eta[45,7]",1.00096
"eta[44,14]",1.00096
"prob_correct[82,2]",1.00096
"eta[82,2]",1.00096
"prob_correct[121,16]",1.00096
"prob_correct[117,5]",1.00096
"eta[89,2]",1.00096
"prob_correct[117,11]",1.00096
"prob_correct[74,5]",1.00096
"eta[91,14]",1.00096
"prob_correct[179,26]",1.00096
"eta[62,16]",1.00096
lp__,1.00096
"eta[132,26]",1.00096
"eta[117,11]",1.00096
"eta[121,16]",1.00096
"prob_correct[15,7]",1.00096
"prob_correct[44,14]",1.00096
"prob_correct[48,10]",1.00096
"prob_correct[62,16]",1.00096
"eta[117,5]",1.00096
"eta[15,7]",1.00096
"prob_correct[45,7]",1.00096
"eta[112,14]",1.00096
"eta[105,7]",1.00095
"eta[185,26]",1.00095
"prob_correct[59,23]",1.00095
"eta[120,23]",1.00095
"prob_correct[185,26]",1.00095
"eta[87,11]",1.00095
"prob_correct[120,23]",1.00095
"eta[153,14]",1.00095
"prob_correct[169,5]",1.00095
"prob_correct[96,18]",1.00095
"prob_correct[105,7]",1.00095
"eta[59,23]",1.00095
"prob_correct[87,11]",1.00095
"prob_correct[46,8]",1.00095
"eta[96,18]",1.00095
"eta[53,8]",1.00095
theta[20],1.00095
"prob_correct[53,8]",1.00095
"eta[169,5]",1.00095
"prob_correct[153,14]",1.00095
"eta[46,8]",1.00095
"prob_correct[162,16]",1.00094
"prob_correct[192,15]",1.00094
"eta[105,24]",1.00094
"prob_correct[162,26]",1.00094
"eta[162,16]",1.00094
"prob_correct[158,2]",1.00094
"eta[162,26]",1.00094
"eta[41,7]",1.00094
"prob_correct[74,26]",1.00094
"eta[142,15]",1.00094
"eta[74,26]",1.00094
"eta[158,2]",1.00094
"eta[192,15]",1.00094
theta[129],1.00094
"eta[159,23]",1.00094
"eta[186,5]",1.00094
"prob_correct[142,15]",1.00094
"eta[13,23]",1.00094
"prob_correct[13,23]",1.00094
"prob_correct[41,7]",1.00094
"prob_correct[159,23]",1.00094
"eta[62,15]",1.00094
"prob_correct[62,15]",1.00094
"prob_correct[105,24]",1.00094
"prob_correct[53,5]",1.00094
"eta[53,5]",1.00094
"prob_correct[186,5]",1.00094
"prob_correct[86,16]",1.00093
"eta[189,8]",1.00093
"eta[37,8]",1.00093
"eta[115,16]",1.00093
"prob_correct[189,8]",1.00093
"prob_correct[115,16]",1.00093
"eta[94,7]",1.00093
"prob_correct[37,8]",1.00093
"prob_correct[94,7]",1.00093
"prob_correct[124,16]",1.00093
"prob_correct[80,7]",1.00093
"eta[49,10]",1.00093
"eta[39,7]",1.00093
"prob_correct[49,10]",1.00093
"eta[71,23]",1.00093
"prob_correct[71,23]",1.00093
"prob_correct[9,11]",1.00093
"eta[124,16]",1.00093
"prob_correct[39,7]",1.00093
"prob_correct[166,14]",1.00093
"eta[9,11]",1.00093
"eta[80,7]",1.00093
"eta[86,16]",1.00093
"eta[166,14]",1.00093
"eta[82,16]",1.00092
theta[190],1.00092
"eta[58,12]",1.00092
"prob_correct[186,16]",1.00092
"eta[190,5]",1.00092
"prob_correct[106,18]",1.00092
"eta[83,8]",1.00092
"prob_correct[83,8]",1.00092
"prob_correct[195,15]",1.00092
"prob_correct[82,16]",1.00092
theta[142],1.00092
"prob_correct[58,12]",1.00092
"prob_correct[190,5]",1.00092
"prob_correct[190,11]",1.00092
"prob_correct[37,16]",1.00092
"eta[96,2]",1.00092
"prob_correct[96,2]",1.00092
"eta[37,16]",1.00092
"prob_correct[8,11]",1.00092
"prob_correct[8,16]",1.00092
"eta[106,18]",1.00092
"eta[195,15]",1.00092
"eta[8,16]",1.00092
"eta[186,16]",1.00092
"eta[190,11]",1.00092
"eta[8,11]",1.00092
"prob_correct[57,15]",1.00091
"eta[70,23]",1.00091
"prob_correct[133,5]",1.00091
"eta[93,24]",1.00091
"prob_correct[70,23]",1.00091
"prob_correct[182,18]",1.00091
theta[41],1.00091
"eta[153,18]",1.00091
"prob_correct[36,7]",1.00091
"eta[133,10]",1.00091
"eta[133,5]",1.00091
"eta[36,7]",1.00091
"eta[179,14]",1.00091
"prob_correct[161,16]",1.00091
"prob_correct[158,7]",1.00091
"eta[167,18]",1.00091
"prob_correct[93,24]",1.00091
"prob_correct[167,18]",1.00091
"prob_correct[61,7]",1.00091
"y_rep[107,14]",1.00091
"eta[57,15]",1.00091
"eta[182,18]",1.00091
"eta[158,7]",1.00091
"prob_correct[179,14]",1.00091
"eta[61,7]",1.00091
"eta[30,11]",1.00091
"prob_correct[153,18]",1.00091
theta[186],1.00091
"prob_correct[30,11]",1.00091
"prob_correct[133,10]",1.00091
"eta[161,16]",1.00091
"eta[142,8]",1.0009
"prob_correct[20,23]",1.0009
"prob_correct[193,23]",1.0009
"eta[193,23]",1.0009
"eta[62,14]",1.0009
"eta[61,26]",1.0009
"eta[119,27]",1.0009
"prob_correct[34,25]",1.0009
"eta[34,25]",1.0009
a[25],1.0009
"prob_correct[142,8]",1.0009
"prob_correct[119,27]",1.0009
"prob_correct[62,14]",1.0009
"prob_correct[165,23]",1.0009
"eta[20,23]",1.0009
"prob_correct[61,26]",1.0009
"eta[165,23]",1.0009
a[17],1.0009
"eta[173,28]",1.00089
"eta[104,25]",1.00089
"eta[99,16]",1.00089
"prob_correct[158,6]",1.00089
"prob_correct[146,16]",1.00089
"eta[124,7]",1.00089
"eta[165,26]",1.00089
theta[54],1.00089
"eta[158,6]",1.00089
"eta[146,16]",1.00089
theta[86],1.00089
"prob_correct[99,16]",1.00089
"prob_correct[65,11]",1.00089
"eta[133,25]",1.00089
"prob_correct[173,28]",1.00089
"prob_correct[104,25]",1.00089
"eta[80,25]",1.00089
"eta[153,13]",1.00089
"prob_correct[80,25]",1.00089
"prob_correct[66,2]",1.00089
"eta[154,5]",1.00089
"prob_correct[165,26]",1.00089
"eta[66,2]",1.00089
"prob_correct[133,25]",1.00089
"prob_correct[124,7]",1.00089
"prob_correct[153,13]",1.00089
"eta[65,11]",1.00089
"prob_correct[154,5]",1.00089
"eta[179,16]",1.00088
"eta[99,14]",1.00088
"prob_correct[117,14]",1.00088
"prob_correct[99,14]",1.00088
"prob_correct[161,9]",1.00088
"prob_correct[166,26]",1.00088
"prob_correct[156,8]",1.00088
"prob_correct[146,18]",1.00088
"eta[185,16]",1.00088
"prob_correct[68,7]",1.00088
"eta[63,7]",1.00088
"eta[166,26]",1.00088
"prob_correct[191,7]",1.00088
"prob_correct[63,7]",1.00088
"prob_correct[140,16]",1.00088
"eta[126,14]",1.00088
"eta[140,16]",1.00088
"eta[68,7]",1.00088
"eta[110,2]",1.00088
"eta[146,18]",1.00088
"prob_correct[110,2]",1.00088
"eta[50,26]",1.00088
"prob_correct[185,16]",1.00088
"prob_correct[126,14]",1.00088
"prob_correct[84,27]",1.00088
"eta[84,27]",1.00088
"eta[161,9]",1.00088
"eta[156,8]",1.00088
a[12],1.00088
"eta[117,14]",1.00088
"prob_correct[50,26]",1.00088
"prob_correct[179,16]",1.00088
"eta[191,7]",1.00088
"prob_correct[177,5]",1.00087
"prob_correct[110,16]",1.00087
"eta[66,3]",1.00087
"prob_correct[66,3]",1.00087
"eta[167,5]",1.00087
"prob_correct[152,24]",1.00087
"prob_correct[159,17]",1.00087
"prob_correct[122,18]",1.00087
"eta[184,7]",1.00087
"prob_correct[74,11]",1.00087
"eta[152,24]",1.00087
"prob_correct[167,5]",1.00087
"prob_correct[185,6]",1.00087
"eta[87,26]",1.00087
"eta[74,11]",1.00087
"prob_correct[184,7]",1.00087
"eta[185,6]",1.00087
"eta[110,16]",1.00087
"eta[159,17]",1.00087
"eta[177,5]",1.00087
"eta[122,18]",1.00087
"prob_correct[87,26]",1.00087
"prob_correct[8,10]",1.00086
"prob_correct[173,13]",1.00086
"prob_correct[100,23]",1.00086
"eta[26,21]",1.00086
"eta[55,12]",1.00086
"prob_correct[96,11]",1.00086
"prob_correct[111,20]",1.00086
"prob_correct[199,26]",1.00086
"prob_correct[109,10]",1.00086
"prob_correct[26,21]",1.00086
theta[172],1.00086
"eta[132,16]",1.00086
"prob_correct[79,26]",1.00086
"eta[173,13]",1.00086
"eta[88,16]",1.00086
"eta[199,26]",1.00086
"eta[189,24]",1.00086
"prob_correct[91,26]",1.00086
