,attr1,attr2,attr3,attr4,attr1_avg,attr2_avg,attr3_avg,attr4_avg,attr1_name,attr2_name,attr3_name,attr4_name
31,1.0,1.0,1.0,0.0,0.99970390305,0.9290749617599999,0.9983101704949999,0.77671039287,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
32,1.0,1.0,1.0,0.0,0.9996950782875,0.9240220331025,0.9920383983175,0.7742208419925001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
33,1.0,0.0,0.0,0.0,0.9677801470325,0.7328658240025,0.13549365220075,0.5304167400149999,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
34,1.0,1.0,1.0,0.0,0.9811281233675001,0.9283891440275001,0.99402361704,0.753308734565,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
35,1.0,0.0,0.0,0.0,0.9973319858974999,0.5112313121475,0.0587661370088,0.5659220122824999,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
36,1.0,1.0,1.0,0.0,0.9994164195175,0.921095437765,0.998320664235,0.774782977265,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
37,1.0,1.0,1.0,0.0,0.9993991261249999,0.915496938635,0.99205554195,0.7721744846824999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
38,1.0,1.0,1.0,0.0,0.9983864562125,0.9216989384250001,0.9973193602175,0.7539762842825001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
39,1.0,1.0,1.0,0.0,0.99940437892,0.921316346155,0.9948080126625,0.774085316325,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
40,0.0,0.0,0.0,0.0,0.037760498568275,0.18406142040275,0.4907062408275,0.34958289125674996,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
41,1.0,1.0,1.0,0.0,0.9996971539125,0.929272378365,0.9947755929175001,0.7759992286399999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
42,1.0,1.0,1.0,0.0,0.99940437892,0.921316346155,0.9948080126625,0.774085316325,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
43,1.0,1.0,1.0,0.0,0.99924436735,0.8806126270825,0.9137182118875,0.7518792486575001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
44,1.0,1.0,1.0,0.0,0.9615285087575001,0.8859700651075,0.9981297713025,0.7720857288549999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
45,0.0,0.0,0.0,0.0,0.037760498568275,0.18406142040275,0.4907062408275,0.34958289125674996,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
46,1.0,1.0,1.0,0.0,0.9644938468725,0.9201529915925001,0.9979355406124999,0.7506385846525,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
47,1.0,1.0,1.0,0.0,0.9990517077675001,0.90392376645,0.9974261155049999,0.77047767249,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
48,1.0,1.0,1.0,0.0,0.99970390305,0.9290749617599999,0.9983101704949999,0.77671039287,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
49,1.0,1.0,1.0,0.0,0.9997049664050001,0.9015029717774999,0.9894208974375001,0.76884573155,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
50,1.0,1.0,1.0,0.0,0.9931081645325001,0.8246733785475,0.9261741732575,0.748284380635,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
51,1.0,1.0,1.0,0.0,0.9997043611374999,0.9238957221724999,0.9974128790800001,0.775298843705,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
52,0.0,0.0,0.0,0.0,7.074704199085e-05,0.09272803752887501,0.11276516444675001,0.342984179081,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
53,0.0,0.0,0.0,0.0,7.37905082325e-05,0.0298726299967425,0.0032733784300975,0.34557618484224994,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
54,1.0,1.0,1.0,0.0,0.9995748971975,0.925554381525,0.921442211905,0.7600015826950001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
55,1.0,0.0,0.0,0.0,0.9989447679050001,0.72644859082,0.7965786261125001,0.7170488913899999,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
56,1.0,1.0,1.0,0.0,0.9995748971975,0.925554381525,0.921442211905,0.7600015826950001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
57,1.0,1.0,1.0,0.0,0.99404220965,0.9163457502725,0.9981697093875,0.73075606368,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
58,1.0,1.0,1.0,0.0,0.9970226881825001,0.8163090705974999,0.923206087335,0.7424938102324999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
59,0.0,0.0,0.0,0.0,0.35015885875599995,0.59925256872,0.012665067793525,0.5920947881675,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
60,0.0,1.0,1.0,0.0,0.532048857625,0.9343432369325,0.9815038426,0.5344411367225,Did not meet proficiency of Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
61,0.0,1.0,0.0,0.0,0.4960837734625,0.9293225264625,0.6779700950374999,0.69614376663,Did not meet proficiency of Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
62,0.0,1.0,1.0,0.0,0.7488087121325,0.943856201055,0.98693159302,0.7347274547375,Did not meet proficiency of Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
63,0.0,1.0,1.0,0.0,0.7602574872075001,0.9390034271075,0.9816736423900001,0.7344255373874999,Did not meet proficiency of Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
64,1.0,1.0,1.0,0.0,0.99270969567,0.8857736889725001,0.9666828329375,0.762658347485,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
65,1.0,1.0,1.0,0.0,0.99940437892,0.921316346155,0.9948080126625,0.774085316325,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
66,0.0,0.0,0.0,0.0,4.76833338728e-06,0.032069780721762496,0.07090333961225,0.34456018135525,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
67,1.0,1.0,1.0,0.0,0.9968085068225,0.8915569050875,0.990905021995,0.7452076515075,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
68,1.0,1.0,1.0,0.0,0.999231304765,0.867642085975,0.8953279032775,0.7472390730974999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
69,1.0,0.0,0.0,0.0,0.8647916038175,0.7897522799625,0.5200516349900001,0.5597882171425,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
70,1.0,1.0,1.0,0.0,0.9995748971975,0.925554381525,0.921442211905,0.7600015826950001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
71,1.0,1.0,1.0,0.0,0.995501989725,0.912552996065,0.9945828586375,0.750669479555,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
72,1.0,0.0,0.0,0.0,0.82182871215,0.59716165429,0.1317701657,0.46498590713750004,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
73,0.0,0.0,0.0,0.0,0.016820304916875,0.1002511060616,0.00037402005765025,0.3463073021545,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
74,1.0,1.0,1.0,0.0,0.991094282405,0.9153061385025,0.9946049110599999,0.77348434021,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
75,1.0,1.0,1.0,0.0,0.9969976162374999,0.907776671375,0.9950797937,0.728158695685,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
76,1.0,0.0,1.0,0.0,0.9545740869725,0.6757233973875,0.88300174067,0.7242879881500001,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
77,1.0,1.0,1.0,0.0,0.9996950782875,0.9240220331025,0.9920383983175,0.7742208419925001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
78,1.0,1.0,1.0,0.0,0.9814559791799999,0.88582550854,0.9982132913499999,0.7443157478000001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
79,1.0,1.0,1.0,0.0,0.9997043611374999,0.9238957221724999,0.9974128790800001,0.775298843705,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
80,1.0,0.0,0.0,0.0,0.9945812397375,0.6842457842249999,0.7750230613825,0.70814300409,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
81,1.0,1.0,1.0,0.0,0.9996971539125,0.929272378365,0.9947755929175001,0.7759992286399999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
82,1.0,1.0,1.0,0.0,0.9995748971975,0.925554381525,0.921442211905,0.7600015826950001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
83,1.0,1.0,1.0,0.0,0.999110251665,0.9159090968275,0.9817525766,0.7700016052475,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
84,0.0,0.0,0.0,0.0,4.176064295355e-06,0.029865713657505,0.0032729144888025,0.3455690307205,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
85,1.0,0.0,0.0,0.0,0.99722065754,0.4913283999625,0.0059463905226225,0.5545729108675,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
86,1.0,1.0,1.0,0.0,0.9996971539125,0.929272378365,0.9947755929175001,0.7759992286399999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
87,1.0,1.0,1.0,0.0,0.9634757854375,0.926549292675,0.99045440563,0.77820109784,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
88,1.0,1.0,1.0,0.0,0.996410265805,0.9136265169425,0.9713111724625001,0.7461625682425,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
89,1.0,1.0,1.0,0.0,0.956731463545,0.8982462358125,0.9353054859850001,0.7339480891925,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
90,1.0,1.0,1.0,0.0,0.99697839489,0.9248116070575001,0.99817973637,0.73333511562,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
91,0.0,0.0,0.0,0.0,0.2842476411545,0.5754345496,0.637061323955,0.42327416155750003,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
92,1.0,1.0,1.0,0.0,0.99940437892,0.921316346155,0.9948080126625,0.774085316325,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
93,1.0,1.0,1.0,0.0,0.9803582482350001,0.8956906216349999,0.9654982921475,0.7410362791075,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
94,0.0,0.0,0.0,0.0,0.000767733514426,0.10681697623722501,0.042578920782175,0.34398707099475,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
95,1.0,1.0,1.0,0.0,0.9996971539125,0.929272378365,0.9947755929175001,0.7759992286399999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
96,1.0,0.0,1.0,0.0,0.9167016555825,0.7757225204975,0.90644653094,0.7471588182100001,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
97,1.0,0.0,0.0,0.0,0.9861525990500001,0.5141334003425,0.056733054899075,0.5351606352075,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
98,0.0,0.0,0.0,1.0,0.112469909733275,0.1067689900098,0.0048363102407325,0.838197793645,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Proficient in Continuous Models
99,1.0,1.0,1.0,0.0,0.9979314638025001,0.8895365547774999,0.9128223010450001,0.73147336963,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
100,0.0,0.0,0.0,0.0,7.074704199085e-05,0.09272803752887501,0.11276516444675001,0.342984179081,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
101,0.0,0.0,0.0,0.0,0.1067959412805,0.73896111963,0.11118094855475,0.356338311485,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
102,1.0,1.0,1.0,0.0,0.9989330780825,0.834055015615,0.9267323468275,0.7463156758899999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
103,1.0,1.0,1.0,0.0,0.9903639588625,0.909108289175,0.991715481605,0.7715632207349999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
104,1.0,1.0,1.0,0.0,0.9993991261249999,0.915496938635,0.99205554195,0.7721744846824999,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
105,1.0,1.0,1.0,0.0,0.9996950782875,0.9240220331025,0.9920383983175,0.7742208419925001,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
106,1.0,0.0,0.0,0.0,0.98200938909,0.636162471765,0.01240816869121,0.5288934590075001,Proficient in Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
107,1.0,1.0,1.0,0.0,0.9997043611374999,0.9238957221724999,0.9974128790800001,0.775298843705,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
108,1.0,1.0,1.0,0.0,0.9994046059449999,0.869146695175,0.9760104472825,0.7598707545,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
109,1.0,1.0,1.0,0.0,0.99970390305,0.9290749617599999,0.9983101704949999,0.77671039287,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
110,0.0,0.0,0.0,0.0,0.15115863004175,0.1702866948515,0.494839751535,0.65041998524,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
111,0.0,0.0,0.0,0.0,0.022237092074375,0.095915187469725,0.4694119141375,0.34458624965,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
112,1.0,1.0,1.0,0.0,0.8252319226025,0.845749515855,0.9761354943,0.629659040995,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
113,1.0,1.0,1.0,0.0,0.9325248867,0.9064504466,0.9939112840675,0.77755474494,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
114,0.0,0.0,0.0,0.0,0.0035991702661449998,0.16153296563449998,0.7455384157575,0.33573810858,Did not meet proficiency of Random Variables & Distributions,Did not meet proficiency of Computing & Visualizing Distributions,Did not meet proficiency of Specific Models,Did not meet proficiency of Continuous Models
115,1.0,1.0,1.0,0.0,0.9992437938025001,0.92426977733,0.9472943314325001,0.76462208791,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
116,1.0,1.0,1.0,0.0,0.9651589933425,0.89899254345,0.9807338911775,0.7425114183775,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
117,1.0,1.0,1.0,0.0,0.9880944523375,0.86308408845,0.98786049649,0.7376019311075,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
118,1.0,1.0,1.0,0.0,0.9960653839975,0.92469591457,0.971879142475,0.77070743737,Proficient in Random Variables & Distributions,Proficient in Computing & Visualizing Distributions,Proficient in Specific Models,Did not meet proficiency of Continuous Models
